fig,title,section,dep,verdict,how,rel,date,committed,folder
FIG C.13,Held-out variance over components &mdash; and how K was chosen,"What this stage produces, one example of eac",cohort,3 current,"make_heldout_variance.py + make_heldout_figure.py &middot; bi-cross-validated, 4",02_FBM_Clustering/outputs/clustering/statistics/C13_heldout_variance.png,2026-09-24,True,clustering/statistics
FIG C.3a,The decomposition at K=10 &mdash; k-means on concat_hg,"What this stage produces, one example of eac",cohort,3 current,kmeans/concat_hg/runs/20260924_014902 &middot; K=10 &middot; make_cluster_figure,02_FBM_Clustering/outputs/clustering/statistics/concat_hg_K10/C3a_kmeans_K10.png,2026-09-24,True,clustering/statistics
FIG C.3a,The decomposition at K=12 &mdash; k-means on concat_rawds,"What this stage produces, one example of eac",cohort,3 current,kmeans/concat_rawds/runs/20260924_014931 &middot; K=12 &middot; make_cluster_fig,02_FBM_Clustering/outputs/clustering/statistics/concat_rawds_K12/C3a_kmeans_K12.png,2026-09-24,True,clustering/statistics
FIG C.3a,The decomposition at K=14 &mdash; k-means on concat_bands5,"What this stage produces, one example of eac",cohort,3 current,kmeans/concat_bands5/runs/20260924_015006 &middot; K=14 &middot; make_cluster_fi,02_FBM_Clustering/outputs/clustering/statistics/concat_bands5_K14/C3a_kmeans_K14.png,2026-09-24,True,clustering/statistics
FIG C.3a,The decomposition at K=16 &mdash; k-means on concat_bands5z,"What this stage produces, one example of eac",cohort,3 current,kmeans/concat_bands5z/runs/20260924_015027 &middot; K=16 &middot; make_cluster_f,02_FBM_Clustering/outputs/clustering/statistics/concat_bands5z_K16/C3a_kmeans_K16.png,2026-09-24,True,clustering/statistics
FIG C.3b,The decomposition at K=10 &mdash; Ward on concat_hg,"What this stage produces, one example of eac",cohort,3 current,hierarchical/concat_hg/runs/20260924_014907 &middot; K=10 &middot; make_cluster_,02_FBM_Clustering/outputs/clustering/statistics/concat_hg_K10/C3b_hierarchical_K10.png,2026-09-24,True,clustering/statistics
FIG C.3b,The decomposition at K=12 &mdash; Ward on concat_rawds,"What this stage produces, one example of eac",cohort,3 current,hierarchical/concat_rawds/runs/20260924_014916 &middot; K=12 &middot; make_clust,02_FBM_Clustering/outputs/clustering/statistics/concat_rawds_K12/C3b_hierarchical_K12.png,2026-09-24,True,clustering/statistics
FIG C.3b,The decomposition at K=14 &mdash; Ward on concat_bands5,"What this stage produces, one example of eac",cohort,3 current,hierarchical/concat_bands5/runs/20260924_014926 &middot; K=14 &middot; make_clus,02_FBM_Clustering/outputs/clustering/statistics/concat_bands5_K14/C3b_hierarchical_K14.png,2026-09-24,True,clustering/statistics
FIG C.3b,The decomposition at K=16 &mdash; Ward on concat_bands5z,"What this stage produces, one example of eac",cohort,3 current,hierarchical/concat_bands5z/runs/20260924_014937 &middot; K=16 &middot; make_clu,02_FBM_Clustering/outputs/clustering/statistics/concat_bands5z_K16/C3b_hierarchical_K16.png,2026-09-24,True,clustering/statistics
FIG C.3c,The decomposition at K=10 &mdash; convex NMF on concat_hg,"What this stage produces, one example of eac",cohort,3 current,cnmf/concat_hg/runs/20260924_021756 &middot; K=10 &middot; make_cluster_figures.,02_FBM_Clustering/outputs/clustering/statistics/concat_hg_K10/C3c_cnmf_K10.png,2026-09-24,True,clustering/statistics
FIG C.3c,The decomposition at K=12 &mdash; convex NMF on concat_rawds,"What this stage produces, one example of eac",cohort,3 current,cnmf/concat_rawds/runs/20260924_022631 &middot; K=12 &middot; make_cluster_figur,02_FBM_Clustering/outputs/clustering/statistics/concat_rawds_K12/C3c_cnmf_K12.png,2026-09-24,True,clustering/statistics
FIG C.3c,The decomposition at K=14 &mdash; convex NMF on concat_bands5,"What this stage produces, one example of eac",cohort,3 current,cnmf/concat_bands5/runs/20260924_023340 &middot; K=14 &middot; make_cluster_figu,02_FBM_Clustering/outputs/clustering/statistics/concat_bands5_K14/C3c_cnmf_K14.png,2026-09-24,True,clustering/statistics
FIG C.3c,The decomposition at K=16 &mdash; convex NMF on concat_bands5z,"What this stage produces, one example of eac",cohort,3 current,cnmf/concat_bands5z/runs/20260924_024006 &middot; K=16 &middot; make_cluster_fig,02_FBM_Clustering/outputs/clustering/statistics/concat_bands5z_K16/C3c_cnmf_K16.png,2026-09-24,True,clustering/statistics
FIG C.8a,Per-electrode confidence at K=10 &mdash; k-means on concat_hg,"What this stage produces, one example of eac",cohort,3 current,cnmf/concat_hg/runs/20260924_021756 &middot; K=10 &middot; make_cluster_figures.,02_FBM_Clustering/outputs/clustering/statistics/concat_hg_K10/C8a_kmeans_K10.png,2026-09-24,True,clustering/statistics
FIG C.8a,Per-electrode confidence at K=12 &mdash; k-means on concat_rawds,"What this stage produces, one example of eac",cohort,3 current,cnmf/concat_rawds/runs/20260924_022631 &middot; K=12 &middot; make_cluster_figur,02_FBM_Clustering/outputs/clustering/statistics/concat_rawds_K12/C8a_kmeans_K12.png,2026-09-24,True,clustering/statistics
FIG C.8a,Per-electrode confidence at K=14 &mdash; k-means on concat_bands5,"What this stage produces, one example of eac",cohort,3 current,cnmf/concat_bands5/runs/20260924_023340 &middot; K=14 &middot; make_cluster_figu,02_FBM_Clustering/outputs/clustering/statistics/concat_bands5_K14/C8a_kmeans_K14.png,2026-09-24,True,clustering/statistics
FIG C.8a,Per-electrode confidence at K=16 &mdash; k-means on concat_bands5z,"What this stage produces, one example of eac",cohort,3 current,cnmf/concat_bands5z/runs/20260924_024006 &middot; K=16 &middot; make_cluster_fig,02_FBM_Clustering/outputs/clustering/statistics/concat_bands5z_K16/C8a_kmeans_K16.png,2026-09-24,True,clustering/statistics
FIG C.8b,Per-electrode confidence at K=10 &mdash; Ward on concat_hg,"What this stage produces, one example of eac",cohort,3 current,cnmf/concat_hg/runs/20260924_021756 &middot; K=10 &middot; make_cluster_figures.,02_FBM_Clustering/outputs/clustering/statistics/concat_hg_K10/C8b_hierarchical_K10.png,2026-09-24,True,clustering/statistics
FIG C.8b,Per-electrode confidence at K=12 &mdash; Ward on concat_rawds,"What this stage produces, one example of eac",cohort,3 current,cnmf/concat_rawds/runs/20260924_022631 &middot; K=12 &middot; make_cluster_figur,02_FBM_Clustering/outputs/clustering/statistics/concat_rawds_K12/C8b_hierarchical_K12.png,2026-09-24,True,clustering/statistics
FIG C.8b,Per-electrode confidence at K=14 &mdash; Ward on concat_bands5,"What this stage produces, one example of eac",cohort,3 current,cnmf/concat_bands5/runs/20260924_023340 &middot; K=14 &middot; make_cluster_figu,02_FBM_Clustering/outputs/clustering/statistics/concat_bands5_K14/C8b_hierarchical_K14.png,2026-09-24,True,clustering/statistics
FIG C.8b,Per-electrode confidence at K=16 &mdash; Ward on concat_bands5z,"What this stage produces, one example of eac",cohort,3 current,cnmf/concat_bands5z/runs/20260924_024006 &middot; K=16 &middot; make_cluster_fig,02_FBM_Clustering/outputs/clustering/statistics/concat_bands5z_K16/C8b_hierarchical_K16.png,2026-09-24,True,clustering/statistics
FIG C.8c,Per-electrode confidence at K=10 &mdash; convex NMF on concat_hg,"What this stage produces, one example of eac",cohort,3 current,cnmf/concat_hg/runs/20260924_021756 &middot; K=10 &middot; make_cluster_figures.,02_FBM_Clustering/outputs/clustering/statistics/concat_hg_K10/C8c_cnmf_K10.png,2026-09-24,True,clustering/statistics
FIG C.8c,Per-electrode confidence at K=12 &mdash; convex NMF on concat_rawds,"What this stage produces, one example of eac",cohort,3 current,cnmf/concat_rawds/runs/20260924_022631 &middot; K=12 &middot; make_cluster_figur,02_FBM_Clustering/outputs/clustering/statistics/concat_rawds_K12/C8c_cnmf_K12.png,2026-09-24,True,clustering/statistics
FIG C.8c,Per-electrode confidence at K=14 &mdash; convex NMF on concat_bands5,"What this stage produces, one example of eac",cohort,3 current,cnmf/concat_bands5/runs/20260924_023340 &middot; K=14 &middot; make_cluster_figu,02_FBM_Clustering/outputs/clustering/statistics/concat_bands5_K14/C8c_cnmf_K14.png,2026-09-24,True,clustering/statistics
FIG C.8c,Per-electrode confidence at K=16 &mdash; convex NMF on concat_bands5z,"What this stage produces, one example of eac",cohort,3 current,cnmf/concat_bands5z/runs/20260924_024006 &middot; K=16 &middot; make_cluster_fig,02_FBM_Clustering/outputs/clustering/statistics/concat_bands5z_K16/C8c_cnmf_K16.png,2026-09-24,True,clustering/statistics
FIG C.4a,"Option A &mdash; lead with the five types, then qualify them",The plan — from five types to a graded decom,cohort,3 current,,02_FBM_Clustering/outputs/clustering/story/OPT_A_lead_with_types.png,2026-09-24,True,clustering/story
FIG C.4b,"Option B &mdash; lead with what does not hold, then what does",The plan — from five types to a graded decom,cohort,3 current,,02_FBM_Clustering/outputs/clustering/story/OPT_B_lead_with_evidence.png,2026-09-24,True,clustering/story
RT-1,Does the warped-time ordering survive real time?,Why Kruskal–Wallis is the wrong test here,cohort,3 current,,05_FBM_ResponseTiming/outputs/figures/RT-1_warped_vs_real.png,2026-09-24,True,figures/RT-1_warped_vs_real.png
RT-2,All four groupings on one axis,Why Kruskal–Wallis is the wrong test here,cohort,3 current,,05_FBM_ResponseTiming/outputs/figures/RT-2_groupings_peak_lat.png,2026-09-24,True,figures/RT-2_groupings_peak_lat.png
RT-3,Is timing a property of the site or of the task?,Why Kruskal–Wallis is the wrong test here,cohort,3 current,,05_FBM_ResponseTiming/outputs/figures/RT-3_onset_vs_peak_transfer.png,2026-09-24,True,figures/RT-3_onset_vs_peak_transfer.png
RT-S1,Control &mdash; is it just the patient's speed?,Why Kruskal–Wallis is the wrong test here,cohort,3 current,,05_FBM_ResponseTiming/outputs/figures/RT-S1_patient_confound_peak_lat.png,2026-09-24,True,figures/RT-S1_patient_confound_peak_lat.png
,"Mouth minus foot, unreferenced, WM contacts ringed",5 &middot; White-matter contacts as data,other,4 method drawing,20_mm_macro.py --reref none,07_FBM_MotorM/outputs/_status_png/mm_contrast_none.png,2026-09-13,True,_status_png/mm_contrast_none.png
,"Mouth minus foot, every WM-referenced contact","4 &middot; The macro contacts, correctly ali",other,4 method drawing,20_mm_macro.py --reref wm,07_FBM_MotorM/outputs/_status_png/mm_contrast_wm.png,2026-09-12,True,_status_png/mm_contrast_wm.png
,"AG6, aligned","4 &middot; The macro contacts, correctly ali",other,4 method drawing,20_mm_macro.py --reref wm,07_FBM_MotorM/outputs/_status_png/mm_ersp_AG6_wm.png,2026-09-12,True,_status_png/mm_ersp_AG6_wm.png
,"What gave it away (first pass, single offset)","2 &middot; The first macro analysis, and why",other,4 method drawing,"20_mm_macro.py --reref wm, single offset",07_FBM_MotorM/outputs/_status_png/mm_ersp_AG6_wm_v1.png,2026-09-12,True,_status_png/mm_ersp_AG6_wm_v1.png
,The residual along the shafts,"4 &middot; The macro contacts, correctly ali",other,4 method drawing,23_mm_emg_gradient.py --run wm,07_FBM_MotorM/outputs/_status_png/mm_gradient_wm.png,2026-09-13,True,_status_png/mm_gradient_wm.png
,The analog inputs through the full analysis,"6 &middot; The micro contacts, and the analo",other,4 method drawing,21_mm_micro.py,07_FBM_MotorM/outputs/_status_png/mm_micro_analog_HG.png,2026-09-12,True,_status_png/mm_micro_analog_HG.png
,"Tetrode AGm1&ndash;4 as recorded, no reference, no notch","6 &middot; The micro contacts, and the analo",other,4 method drawing,21_mm_micro.py --reref none --no-notch,07_FBM_MotorM/outputs/_status_png/mm_micro_none_AGm1-4.png,2026-09-13,True,_status_png/mm_micro_none_AGm1-4.png
,The two clocks matched per file,"3 &middot; Testing the timing: two problems,",other,4 method drawing,11_mm_sync.py,07_FBM_MotorM/outputs/_status_png/mm_sync_parts.png,2026-09-12,True,_status_png/mm_sync_parts.png
,Timing check on the clean data,"3 &middot; Testing the timing: two problems,",other,4 method drawing,12_mm_timing_check.py,07_FBM_MotorM/outputs/_status_png/mm_timing_check.png,2026-09-12,True,_status_png/mm_timing_check.png
,The G-05 trial table,1 &middot; Getting the trials,other,4 method drawing,10_mm_triggers.py,07_FBM_MotorM/outputs/_status_png/mm_triggers_G05.png,2026-09-12,True,_status_png/mm_triggers_G05.png
FIG E.10,"the stripe is the line's time course, and the time course lives in the",Why a stripe survives a notch,other,4 method drawing,01_FBM_Analysis/outputs/_status_png/notch_stripe_explainer.png,01_FBM_Analysis/outputs/_status_png/notch_stripe_explainer.png,2026-09-07,True,_status_png/notch_stripe_explainer.png
FIG RT.1,Notebook 150 first run · per-patient status,History,other,4 method drawing,05_ERSP_LM_RAWONLY_RealTime,01_FBM_Analysis/outputs/_status_png/realtime/RT1_run_status.png,2026-08-16,True,_status_png/realtime
FIG RT.2,GO-locked single trials · PAT_6854 AGm4 audio,History,other,4 method drawing,PAT_6854/LM/HG/audio/…_AGm4_GO.png,01_FBM_Analysis/outputs/_status_png/realtime/RT_sample_hg.png,2026-08-17,True,_status_png/realtime
FIG RT.3,"GO-locked cube · PAT_6854 AGm4, three conditions",History,other,4 method drawing,…_AGm4_RT_GO.npy,01_FBM_Analysis/outputs/_status_png/realtime/RT_sample_ersp.png,2026-08-16,True,_status_png/realtime
FIG E.1,"convex NMF, step by step",The three algorithms,method,4 method drawing,02_FBM_Clustering/outputs/clustering/explainers/E1_cnmf_explained.png,02_FBM_Clustering/outputs/clustering/explainers/E1_cnmf_explained.png,2026-08-25,True,clustering/explainers
FIG E.11,"pair on response shape, test on shared electrodes",Do two methods find the same clusters?,method,4 method drawing,02_FBM_Clustering/outputs/clustering/explainers/E11_cluster_correspondence.png,02_FBM_Clustering/outputs/clustering/explainers/E11_cluster_correspondence.png,2026-09-07,True,clustering/explainers
FIG E.2,"k-means, on the same twelve electrodes",The three algorithms,method,4 method drawing,02_FBM_Clustering/outputs/clustering/explainers/E2_kmeans_explained.png,02_FBM_Clustering/outputs/clustering/explainers/E2_kmeans_explained.png,2026-08-25,True,clustering/explainers
FIG E.3,"Ward, on the same twelve electrodes",The three algorithms,method,4 method drawing,02_FBM_Clustering/outputs/clustering/explainers/E3_ward_explained.png,02_FBM_Clustering/outputs/clustering/explainers/E3_ward_explained.png,2026-08-25,True,clustering/explainers
FIG E.4,"what a split half is, and what it is not",_half1 and _half2,method,4 method drawing,02_FBM_Clustering/outputs/clustering/explainers/E4_what_the_halves_are.png,02_FBM_Clustering/outputs/clustering/explainers/E4_what_the_halves_are.png,2026-08-26,True,clustering/explainers
FIG E.5,What sweep_stability measures &mdash; and the caveat on the cnmf runs,"What this stage produces, one example of eac",method,4 method drawing,sweep_stability.py &middot; lf_stability.per_cluster_jaccard,02_FBM_Clustering/outputs/clustering/explainers/E5_sweep_stability.png,2026-08-26,True,clustering/explainers
FIG E.6,Three distinctions that are easy to run together,"What this stage produces, one example of eac",method,4 method drawing,make_explainer_three.py,02_FBM_Clustering/outputs/clustering/explainers/E6_three_distinctions.png,2026-08-26,True,clustering/explainers
FIG E.7,"one outlier, and one perfectly curved relationship",Spearman or Pearson,method,4 method drawing,02_FBM_Clustering/outputs/clustering/explainers/E7_spearman_vs_pearson.png,02_FBM_Clustering/outputs/clustering/explainers/E7_spearman_vs_pearson.png,2026-08-26,True,clustering/explainers
FIG E.8,the same ERSP through all four representations,The spectral feature sets,method,4 method drawing,02_FBM_Clustering/outputs/clustering/explainers/E8_band_schemes.png,02_FBM_Clustering/outputs/clustering/explainers/E8_band_schemes.png,2026-08-27,True,clustering/explainers
FIG E.9,"every file, in the order the data forces",Rebuilding the whole thing,method,4 method drawing,02_FBM_Clustering/outputs/clustering/explainers/E9_pipeline_flowchart.png,02_FBM_Clustering/outputs/clustering/explainers/E9_pipeline_flowchart.png,2026-08-28,True,clustering/explainers
FIG P.1,Chain overview with v4 survival counts (2026-08-26),History,method,4 method drawing,make_preprocessing_figures.py,01_FBM_Analysis/outputs/preprocessing_docs/P1_pipeline_overview.png,2026-09-24,True,preprocessing_docs/P1_pipeline_overview.png
FIG P.2,Steps 3–4 · reference and notch (documentation figure),"Chain — per patient, in order",method,4 method drawing,make_preprocessing_figures.py,01_FBM_Analysis/outputs/preprocessing_docs/P2_signal_conditioning.png,2026-09-24,True,preprocessing_docs/P2_signal_conditioning.png
FIG P.3,Step 6 · one trial → one ERSP (documentation figure),"Chain — per patient, in order",method,4 method drawing,"make_preprocessing_figures.py, 2026-08-26",01_FBM_Analysis/outputs/preprocessing_docs/P3_one_trial_to_ersp.png,2026-09-24,True,preprocessing_docs/P3_one_trial_to_ersp.png
FIG P.4,Step 6b · time normalisation (documentation figure),"Chain — per patient, in order",method,4 method drawing,"make_preprocessing_figures.py, 2026-08-26",01_FBM_Analysis/outputs/preprocessing_docs/P4_time_normalisation.png,2026-09-24,True,preprocessing_docs/P4_time_normalisation.png
FIG P.5,Trial filters and the stage-02 gate (v4),History,method,4 method drawing,make_preprocessing_figures.py,01_FBM_Analysis/outputs/preprocessing_docs/P5_trial_and_electrode_selection.png,2026-09-24,True,preprocessing_docs/P5_trial_and_electrode_selection.png
FIG P.6,Three cubes → feature matrices (v4),History,method,4 method drawing,make_preprocessing_figures.py,01_FBM_Analysis/outputs/preprocessing_docs/P6_cube_to_features.png,2026-09-24,True,preprocessing_docs/P6_cube_to_features.png
